typeofcrop,geometry
Paddy,POINT (79.07648516666669 18.143622166666663)
Paddy,POINT (77.84480309 18.2876913)
Paddy,POINT (79.16469608333337 18.018565250000005)
Paddy,POINT (79.080289 18.139426833333346)
Paddy,POINT (77.83985736000002 18.27562284)
Paddy,POINT (79.07057791666666 18.124147666666662)
Paddy,POINT (79.06434508333334 18.110958083333326)
Paddy,POINT (78.02089767499999 18.362993850000002)
Paddy,POINT (79.06317566666664 18.099128583333332)
Paddy,POINT (78.00035571499998 18.36281709)
Paddy,POINT (79.06517791666668 18.08480516666667)
Paddy,POINT (79.21941701999995 18.120228315000002)
Paddy,POINT (77.832415565 18.239398905)
Paddy,POINT (77.83337676 18.241203564999996)
Paddy,POINT (79.06680625 18.075687333333338)
Paddy,POINT (77.83490178999999 18.24542691)
Paddy,POINT (79.23291846499998 18.127595354999997)
Paddy,POINT (79.07207550000001 18.07308758333333)
Paddy,POINT (77.97980570000001 18.404174770000004)
Paddy,POINT (79.07834266666667 18.0696595)
Paddy,POINT (79.21660278 18.140414455)
Paddy,POINT (79.116388 18.070570916666664)
Paddy,POINT (79.11639024999997 18.07060183333334)
Paddy,POINT (79.1373904166667 18.09286091666667)
Paddy,POINT (79.16790392000001 18.11205116)
Paddy,POINT (79.14504828 18.098356064999997)
Paddy,POINT (79.140882745 18.093262274999997)
Paddy,POINT (78.96284383333331 18.097853249999993)
Paddy,POINT (78.10270179 18.23633573)
Paddy,POINT (79.14078719999998 18.093309794999993)
Paddy,POINT (78.95870491666668 18.106674166666664)
Paddy,POINT (78.0641058 18.234686545000002)
Paddy,POINT (78.064070475 18.23470709)
Paddy,POINT (78.96294625000004 18.122539916666675)
Paddy,POINT (78.0466364 18.221414229999997)
Paddy,POINT (78.9589904166667 18.127578666666672)
Paddy,POINT (78.95213591666668 18.127084333333336)
Paddy,POINT (78.03455062999998 18.212906979999996)
