geometry,typeofcrop
POINT (74.02231591500001 22.958197650000002),Wheat
POINT (73.07248352750001 23.3843900825),Wheat
POINT (72.209563485 24.025184945),WHEAT
POINT (72.65076576999999 22.478452209999997),Wheat
POINT (72.63941016000001 22.455679400000005),Wheat
POINT (72.62797114499998 22.436531865),Wheat
POINT (72.62227150999999 22.429382244999996),Wheat
POINT (72.60571359499998 22.429464285000005),Wheat
POINT (72.62724967 22.418498924999994),Wheat
POINT (72.652951355 22.404432765),Wheat
POINT (72.66291662 22.401540895),Wheat
POINT (72.04141071499998 23.687092085000007),WHEAT
POINT (72.66711568699999 22.3342540665),Wheat
POINT (72.35736763000001 23.89305019),Wheat
POINT (74.23546101999999 22.648869229999995),Wheat
POINT (74.23532597499997 22.650032079999995),Wheat
POINT (72.08581217500003 23.08980971),WHEAT
POINT (72.37243129499998 23.93295253000001),Wheat
POINT (73.22078827200002 23.3805798045),Wheat
POINT (72.79239849999999 22.8213759),WHEAT
POINT (73.20178191950001 23.2939954365),Wheat
POINT (73.1116601575 23.385073531),Wheat
POINT (72.90690736999998 22.62134987),Wheat
POINT (72.88673874 22.59516066),WHEAT
POINT (72.902049845 22.605966190000007),WHEAT
POINT (72.70753307499997 23.375792084999997),WHEAT
POINT (72.688788275 23.361007565),WHEAT
POINT (72.68398177 23.324028530000003),WHEAT
POINT (72.68120658500001 23.295510084999997),WHEAT
POINT (74.140948536 22.806612288500002),Wheat
POINT (72.86672497500004 22.985127279999993),Wheat
POINT (74.14146357 22.8065799685),Wheat
POINT (73.16273598500001 23.196974939499995),Wheat
POINT (73.980738195 22.622371499999993),Wheat
POINT (72.87284671500002 23.75177011000001),Wheat
POINT (73.98072500999997 22.622367150000002),Wheat
POINT (72.86525465 23.747079455),Wheat
POINT (72.80435205 22.863285649999998),WHEAT
POINT (72.860505465 23.720826800000005),Wheat
POINT (74.02303791666665 22.597311833333325),Wheat
POINT (70.36613007000003 20.93898443),Wheat
POINT (72.286234965 22.782985274999998),Wheat
POINT (74.06247808333333 22.828762999999995),Wheat
POINT (72.770898555 22.509685465),Wheat
POINT (70.361899095 20.958978185),Wheat
POINT (74.01695600500001 22.60442376),Wheat
POINT (74.06251408333334 22.829421),Wheat
POINT (74.24417099999998 22.85470533333333),Wheat
POINT (72.68713994999999 22.539370870000003),Whet
POINT (73.93169592000001 22.854995849999998),Wheat
POINT (72.59116199500002 22.446568245),Wheat
POINT (72.75551514000003 22.674249324999998),WHEAT
POINT (72.99889615000002 22.331595404999995),Wheat
POINT (72.998370225 22.331382730000005),Wheat
POINT (74.24845814900002 22.8213027245),Wheat
POINT (72.391508285 22.745616879999993),Wheat
POINT (72.77174877499998 22.501673454999995),Wheat
POINT (73.023444395 22.655366455),WHEAT
POINT (73.04734383499998 22.323969270000003),Wheat
POINT (74.260237435 22.66464699499999),Wheat
POINT (73.24487835 22.77555741),Whear
POINT (72.62791224000003 22.405013324999995),Wheat
POINT (74.237529158 22.821273232999996),Wheat
POINT (74.06853058 22.606398075),Wheat
POINT (74.23174617250001 22.816413293999997),Wheat
POINT (72.90238212 22.508641629999996),Wheat
POINT (74.06769724500002 22.607813350000008),Wheat
POINT (74.2168351505 22.8120151805),Wheat
POINT (73.04100662 22.316417695),Wheat
POINT (74.30057119 22.686082704999997),Wheat
POINT (73.9945024535 22.838372339999996),Wheat
POINT (72.96742567000001 22.320092194999997),Wheat
POINT (72.68155943499998 22.522885409999997),Whet
POINT (72.9469599 22.917351299999993),Wheat
POINT (74.2045381165 22.772291011499995),Wheat
POINT (72.62545508500001 22.418871529999997),Wheat
POINT (72.97008709499998 22.313596325),WHeat
POINT (74.18881618299999 22.745253460500003),Wheat
POINT (72.97118599 22.904006964999994),Wheat
POINT (74.17693146949999 22.742616945499996),Wheat
POINT (73.99501490749999 22.837919457),Wheat
POINT (74.07402192999999 22.668041),Wheat
POINT (74.1223807705 22.7414550345),Wheat
POINT (74.07340553999998 22.665954285000005),Wheat
POINT (72.57619194 22.435481864999996),Wheat
POINT (74.06710211500001 22.684616320000007),Wheat
POINT (73.99601125 22.855493333333335),Wheat
POINT (74.06702423 22.68461842),Wheat
POINT (72.90778823000002 22.509003150000005),Wheat
POINT (73.9949000833333 22.856537999999997),Wheat
POINT (72.97234932500001 22.872118569999998),Wheat
POINT (74.00000500000002 22.85809633333333),Wheat
POINT (72.93196282500001 22.80830541),Wheat
POINT (74.00034516666669 22.857453833333338),Wheat
POINT (74.17824803999997 22.653166734999992),Wheat
POINT (74.31574308 22.663808675),Wheat
POINT (72.93193735000001 22.808370385000007),WHEAT
POINT (74.17810135 22.653234664999992),Wheat
POINT (72.459764645 22.725444495),Wheat
POINT (74.02546300000003 22.86446175),Wheat
POINT (74.02535533333334 22.864975333333337),Wheat
POINT (74.32256846499999 22.664021005000002),Wheat
POINT (74.20471669500003 22.641776689999993),Wheat
POINT (74.204732615 22.64174813),Wheat
POINT (74.12967824999997 22.69305266666668),Wheat
POINT (74.12986691666666 22.693164583333342),Wheat
POINT (73.2039720315 23.337605644499998),Wheat
POINT (73.14903192 23.443934750000004),Wheat
POINT (73.49962617499997 23.601883129999997),Wheat
POINT (73.16210142999996 23.44075951),Wheat
POINT (73.49755508000001 23.606915615000002),Wheat
POINT (72.83718351 22.704808449999998),Wheat
POINT (72.638456355 22.869387339999996),Wheat
POINT (72.745140085 22.679083464999994),Wheat
POINT (72.6383903 22.869373999999997),Wheat
POINT (72.74662267 22.67975588),Wheat
POINT (72.92840780500003 22.5112019),Wheat
POINT (72.97415608 22.817778154999992),WHEAT
